equipment_id,equipment_type,rental_price_per_day,min_rental_price,max_rental_price,unit,snapshot_date
EQ000001,Harvester,3998,3000,6000,per day,2025-09-17
EQ000002,Disc Harrow,793,500,1000,per day,2025-09-17
EQ000003,Rotavator,740,400,1000,per day,2025-09-17
EQ000004,Plough,480,300,800,per day,2025-09-17
EQ000005,Seed Drill,689,400,900,per day,2025-09-17
EQ000006,Disc Harrow,644,500,1000,per day,2025-09-17
EQ000007,Thresher,793,600,1200,per day,2025-09-17
EQ000008,Harvester,3918,3000,6000,per day,2025-09-17
EQ000009,Power Tiller,689,500,1200,per day,2025-09-17
EQ000010,Pumpset,649,300,800,per day,2025-09-17
EQ000011,Weeder,327,250,600,per day,2025-09-17
EQ000012,Weeder,400,250,600,per day,2025-09-17
EQ000013,Weeder,460,250,600,per day,2025-09-17
EQ000014,Mulcher,1212,900,1600,per day,2025-09-17
EQ000015,Baler,2555,2000,3500,per day,2025-09-17
EQ000016,Thresher,918,600,1200,per day,2025-09-17
EQ000017,Tractor,1791,1000,2000,per day,2025-09-17
EQ000018,Baler,2782,2000,3500,per day,2025-09-17
EQ000019,Seed Drill,661,400,900,per day,2025-09-17
EQ000020,Leveller,1126,800,1500,per day,2025-09-17
EQ000021,Baler,2154,2000,3500,per day,2025-09-17
EQ000022,Leveller,921,800,1500,per day,2025-09-17
EQ000023,Mulcher,1274,900,1600,per day,2025-09-17
EQ000024,Tractor,2000,1000,2000,per day,2025-09-17
EQ000025,Sprayer,211,200,500,per day,2025-09-17
EQ000026,Power Tiller,592,500,1200,per day,2025-09-17
EQ000027,Disc Harrow,561,500,1000,per day,2025-09-17
EQ000028,Reaper,2379,1500,2500,per day,2025-09-17
EQ000029,Mulcher,1234,900,1600,per day,2025-09-17
EQ000030,Plough,425,300,800,per day,2025-09-17
EQ000031,Cultivator,400,400,900,per day,2025-09-17
EQ000032,Rotavator,763,400,1000,per day,2025-09-17
EQ000033,Thresher,796,600,1200,per day,2025-09-17
EQ000034,Tractor,1990,1000,2000,per day,2025-09-17
EQ000035,Seed Drill,699,400,900,per day,2025-09-17
EQ000036,Pumpset,606,300,800,per day,2025-09-17
EQ000037,Reaper,1797,1500,2500,per day,2025-09-17
EQ000038,Cultivator,682,400,900,per day,2025-09-17
EQ000039,Harvester,4848,3000,6000,per day,2025-09-17
EQ000040,Seed Drill,648,400,900,per day,2025-09-17
EQ000041,Leveller,978,800,1500,per day,2025-09-17
EQ000042,Harvester,5091,3000,6000,per day,2025-09-17
EQ000043,Baler,2975,2000,3500,per day,2025-09-17
EQ000044,Tractor,1760,1000,2000,per day,2025-09-17
EQ000045,Baler,2492,2000,3500,per day,2025-09-17
EQ000046,Pumpset,427,300,800,per day,2025-09-17
EQ000047,Baler,2677,2000,3500,per day,2025-09-17
EQ000048,Power Tiller,741,500,1200,per day,2025-09-17
EQ000049,Tractor,2000,1000,2000,per day,2025-09-17
EQ000050,Rotavator,737,400,1000,per day,2025-09-17
EQ000051,Tractor,1744,1000,2000,per day,2025-09-17
EQ000052,Cultivator,680,400,900,per day,2025-09-17
EQ000053,Cultivator,598,400,900,per day,2025-09-17
EQ000054,Reaper,1977,1500,2500,per day,2025-09-17
EQ000055,Sprayer,315,200,500,per day,2025-09-17
EQ000056,Cultivator,645,400,900,per day,2025-09-17
EQ000057,Leveller,1117,800,1500,per day,2025-09-17
EQ000058,Power Tiller,676,500,1200,per day,2025-09-17
EQ000059,Baler,2103,2000,3500,per day,2025-09-17
EQ000060,Seed Drill,616,400,900,per day,2025-09-17
EQ000061,Thresher,973,600,1200,per day,2025-09-17
