equipment_id,equipment_type,rental_price_per_day,min_rental_price,max_rental_price,unit,snapshot_date,Condition,Adjusted_Rental_Price
EQ000001,Harvester,3998,3000,6000,per day,2025-09-17,Good,3998.0
EQ000002,Disc Harrow,793,500,1000,per day,2025-09-17,Needs Repair,555.1
EQ000003,Rotavator,740,400,1000,per day,2025-09-17,Needs Repair,518.0
EQ000004,Plough,480,300,800,per day,2025-09-17,Good,480.0
EQ000005,Seed Drill,689,400,900,per day,2025-09-17,Good,689.0
EQ000006,Disc Harrow,644,500,1000,per day,2025-09-17,Good,644.0
EQ000007,Thresher,793,600,1200,per day,2025-09-17,Good,793.0
EQ000008,Harvester,3918,3000,6000,per day,2025-09-17,Needs Repair,2742.6
EQ000009,Power Tiller,689,500,1200,per day,2025-09-17,Good,689.0
EQ000010,Pumpset,649,300,800,per day,2025-09-17,Needs Repair,454.3
EQ000011,Weeder,327,250,600,per day,2025-09-17,Good,327.0
EQ000012,Weeder,400,250,600,per day,2025-09-17,Needs Repair,280.0
EQ000013,Weeder,460,250,600,per day,2025-09-17,Needs Repair,322.0
EQ000014,Mulcher,1212,900,1600,per day,2025-09-17,Good,1212.0
EQ000015,Baler,2555,2000,3500,per day,2025-09-17,Good,2555.0
EQ000016,Thresher,918,600,1200,per day,2025-09-17,Good,918.0
EQ000017,Tractor,1791,1000,2000,per day,2025-09-17,Good,1791.0
EQ000018,Baler,2782,2000,3500,per day,2025-09-17,Good,2782.0
EQ000019,Seed Drill,661,400,900,per day,2025-09-17,Good,661.0
EQ000020,Leveller,1126,800,1500,per day,2025-09-17,Good,1126.0
EQ000021,Baler,2154,2000,3500,per day,2025-09-17,Good,2154.0
EQ000022,Leveller,921,800,1500,per day,2025-09-17,Good,921.0
EQ000023,Mulcher,1274,900,1600,per day,2025-09-17,Good,1274.0
EQ000024,Tractor,2000,1000,2000,per day,2025-09-17,Good,2000.0
EQ000025,Sprayer,211,200,500,per day,2025-09-17,Good,211.0
EQ000026,Power Tiller,592,500,1200,per day,2025-09-17,Needs Repair,414.4
EQ000027,Disc Harrow,561,500,1000,per day,2025-09-17,Good,561.0
EQ000028,Reaper,2379,1500,2500,per day,2025-09-17,Good,2379.0
EQ000029,Mulcher,1234,900,1600,per day,2025-09-17,Good,1234.0
EQ000030,Plough,425,300,800,per day,2025-09-17,Good,425.0
EQ000031,Cultivator,400,400,900,per day,2025-09-17,Good,400.0
EQ000032,Rotavator,763,400,1000,per day,2025-09-17,Good,763.0
EQ000033,Thresher,796,600,1200,per day,2025-09-17,Good,796.0
EQ000034,Tractor,1990,1000,2000,per day,2025-09-17,Needs Repair,1393.0
EQ000035,Seed Drill,699,400,900,per day,2025-09-17,Needs Repair,489.3
EQ000036,Pumpset,606,300,800,per day,2025-09-17,Needs Repair,424.2
EQ000037,Reaper,1797,1500,2500,per day,2025-09-17,Good,1797.0
EQ000038,Cultivator,682,400,900,per day,2025-09-17,Good,682.0
EQ000039,Harvester,4848,3000,6000,per day,2025-09-17,Good,4848.0
EQ000040,Seed Drill,648,400,900,per day,2025-09-17,Good,648.0
EQ000041,Leveller,978,800,1500,per day,2025-09-17,Good,978.0
EQ000042,Harvester,5091,3000,6000,per day,2025-09-17,Good,5091.0
EQ000043,Baler,2975,2000,3500,per day,2025-09-17,Good,2975.0
EQ000044,Tractor,1760,1000,2000,per day,2025-09-17,Needs Repair,1232.0
EQ000045,Baler,2492,2000,3500,per day,2025-09-17,Good,2492.0
EQ000046,Pumpset,427,300,800,per day,2025-09-17,Good,427.0
EQ000047,Baler,2677,2000,3500,per day,2025-09-17,Good,2677.0
EQ000048,Power Tiller,741,500,1200,per day,2025-09-17,Good,741.0
EQ000049,Tractor,2000,1000,2000,per day,2025-09-17,Good,2000.0
EQ000050,Rotavator,737,400,1000,per day,2025-09-17,Good,737.0
EQ000051,Tractor,1744,1000,2000,per day,2025-09-17,Needs Repair,1220.8
EQ000052,Cultivator,680,400,900,per day,2025-09-17,Needs Repair,476.0
EQ000053,Cultivator,598,400,900,per day,2025-09-17,Needs Repair,418.6
EQ000054,Reaper,1977,1500,2500,per day,2025-09-17,Needs Repair,1383.9
EQ000055,Sprayer,315,200,500,per day,2025-09-17,Good,315.0
EQ000056,Cultivator,645,400,900,per day,2025-09-17,Needs Repair,451.5
EQ000057,Leveller,1117,800,1500,per day,2025-09-17,Good,1117.0
EQ000058,Power Tiller,676,500,1200,per day,2025-09-17,Good,676.0
EQ000059,Baler,2103,2000,3500,per day,2025-09-17,Good,2103.0
EQ000060,Seed Drill,616,400,900,per day,2025-09-17,Good,616.0
EQ000061,Thresher,973,600,1200,per day,2025-09-17,Good,973.0
EQ000062,Sprayer,266,200,500,per day,2025-09-17,Good,266.0
EQ000063,Rotavator,545,400,1000,per day,2025-09-17,Needs Repair,381.5
EQ000064,Leveller,915,800,1500,per day,2025-09-17,Good,915.0
EQ000065,Harvester,4759,3000,6000,per day,2025-09-17,Good,4759.0
EQ000066,Mulcher,1055,900,1600,per day,2025-09-17,Good,1055.0
EQ000067,Mulcher,1293,900,1600,per day,2025-09-17,Good,1293.0
EQ000068,Pumpset,543,300,800,per day,2025-09-17,Needs Repair,380.1
EQ000069,Disc Harrow,701,500,1000,per day,2025-09-17,Good,701.0
EQ000070,Baler,2000,2000,3500,per day,2025-09-17,Needs Repair,1400.0
EQ000071,Thresher,833,600,1200,per day,2025-09-17,Needs Repair,583.1
EQ000072,Mulcher,1223,900,1600,per day,2025-09-17,Good,1223.0
EQ000073,Thresher,841,600,1200,per day,2025-09-17,Good,841.0
EQ000074,Tractor,1546,1000,2000,per day,2025-09-17,Needs Repair,1082.2
EQ000075,Weeder,408,250,600,per day,2025-09-17,Needs Repair,285.6
EQ000076,Mulcher,1290,900,1600,per day,2025-09-17,Needs Repair,903.0
EQ000077,Tractor,1774,1000,2000,per day,2025-09-17,Needs Repair,1241.8
EQ000078,Rotavator,762,400,1000,per day,2025-09-17,Good,762.0
EQ000079,Mulcher,1410,900,1600,per day,2025-09-17,Good,1410.0
EQ000080,Pumpset,399,300,800,per day,2025-09-17,Good,399.0
EQ000081,Mulcher,1094,900,1600,per day,2025-09-17,Needs Repair,765.8
EQ000082,Cultivator,695,400,900,per day,2025-09-17,Good,695.0
EQ000083,Cultivator,578,400,900,per day,2025-09-17,Good,578.0
EQ000084,Tractor,1709,1000,2000,per day,2025-09-17,Good,1709.0
EQ000085,Reaper,2077,1500,2500,per day,2025-09-17,Good,2077.0
EQ000086,Disc Harrow,694,500,1000,per day,2025-09-17,Good,694.0
EQ000087,Harvester,4631,3000,6000,per day,2025-09-17,Needs Repair,3241.7
EQ000088,Rotavator,832,400,1000,per day,2025-09-17,Good,832.0
EQ000089,Disc Harrow,704,500,1000,per day,2025-09-17,Needs Repair,492.8
EQ000090,Mulcher,1017,900,1600,per day,2025-09-17,Good,1017.0
EQ000091,Tractor,1788,1000,2000,per day,2025-09-17,Good,1788.0
EQ000092,Reaper,1783,1500,2500,per day,2025-09-17,Needs Repair,1248.1
EQ000093,Power Tiller,788,500,1200,per day,2025-09-17,Needs Repair,551.6
EQ000094,Harvester,5134,3000,6000,per day,2025-09-17,Good,5134.0
EQ000095,Weeder,404,250,600,per day,2025-09-17,Needs Repair,282.8
EQ000096,Baler,2887,2000,3500,per day,2025-09-17,Good,2887.0
EQ000097,Sprayer,330,200,500,per day,2025-09-17,Good,330.0
EQ000098,Disc Harrow,781,500,1000,per day,2025-09-17,Good,781.0
EQ000099,Tractor,1914,1000,2000,per day,2025-09-17,Good,1914.0
EQ000100,Baler,2507,2000,3500,per day,2025-09-17,Good,2507.0
EQ000101,Cultivator,625,400,900,per day,2025-09-17,Good,625.0
EQ000102,Pumpset,473,300,800,per day,2025-09-17,Good,473.0
EQ000103,Plough,472,300,800,per day,2025-09-17,Good,472.0
EQ000104,Cultivator,623,400,900,per day,2025-09-17,Good,623.0
EQ000105,Seed Drill,753,400,900,per day,2025-09-17,Needs Repair,527.1
EQ000106,Thresher,992,600,1200,per day,2025-09-17,Good,992.0
EQ000107,Baler,2777,2000,3500,per day,2025-09-17,Good,2777.0
EQ000108,Disc Harrow,756,500,1000,per day,2025-09-17,Needs Repair,529.2
EQ000109,Tractor,2000,1000,2000,per day,2025-09-17,Good,2000.0
EQ000110,Mulcher,1336,900,1600,per day,2025-09-17,Good,1336.0
EQ000111,Power Tiller,843,500,1200,per day,2025-09-17,Good,843.0
EQ000112,Thresher,1004,600,1200,per day,2025-09-17,Good,1004.0
EQ000113,Harvester,5063,3000,6000,per day,2025-09-17,Needs Repair,3544.1
EQ000114,Harvester,5246,3000,6000,per day,2025-09-17,Needs Repair,3672.2
EQ000115,Seed Drill,637,400,900,per day,2025-09-17,Good,637.0
EQ000116,Thresher,825,600,1200,per day,2025-09-17,Needs Repair,577.5
EQ000117,Cultivator,594,400,900,per day,2025-09-17,Needs Repair,415.8
EQ000118,Pumpset,483,300,800,per day,2025-09-17,Good,483.0
EQ000119,Pumpset,471,300,800,per day,2025-09-17,Needs Repair,329.7
EQ000120,Seed Drill,777,400,900,per day,2025-09-17,Good,777.0
EQ000121,Sprayer,373,200,500,per day,2025-09-17,Needs Repair,261.1
EQ000122,Seed Drill,748,400,900,per day,2025-09-17,Needs Repair,523.6
EQ000123,Harvester,4740,3000,6000,per day,2025-09-17,Good,4740.0
EQ000124,Sprayer,202,200,500,per day,2025-09-17,Good,202.0
EQ000125,Thresher,983,600,1200,per day,2025-09-17,Good,983.0
EQ000126,Leveller,800,800,1500,per day,2025-09-17,Good,800.0
EQ000127,Weeder,400,250,600,per day,2025-09-17,Needs Repair,280.0
EQ000128,Leveller,1066,800,1500,per day,2025-09-17,Needs Repair,746.2
EQ000129,Sprayer,295,200,500,per day,2025-09-17,Good,295.0
EQ000130,Sprayer,328,200,500,per day,2025-09-17,Good,328.0
EQ000131,Harvester,4177,3000,6000,per day,2025-09-17,Good,4177.0
EQ000132,Reaper,1901,1500,2500,per day,2025-09-17,Good,1901.0
EQ000133,Seed Drill,667,400,900,per day,2025-09-17,Good,667.0
EQ000134,Reaper,2092,1500,2500,per day,2025-09-17,Good,2092.0
EQ000135,Cultivator,400,400,900,per day,2025-09-17,Needs Repair,280.0
EQ000136,Leveller,996,800,1500,per day,2025-09-17,Good,996.0
EQ000137,Leveller,1106,800,1500,per day,2025-09-17,Good,1106.0
EQ000138,Disc Harrow,786,500,1000,per day,2025-09-17,Needs Repair,550.2
EQ000139,Baler,2403,2000,3500,per day,2025-09-17,Good,2403.0
EQ000140,Leveller,813,800,1500,per day,2025-09-17,Needs Repair,569.1
EQ000141,Cultivator,675,400,900,per day,2025-09-17,Needs Repair,472.5
EQ000142,Leveller,1193,800,1500,per day,2025-09-17,Good,1193.0
EQ000143,Cultivator,578,400,900,per day,2025-09-17,Good,578.0
EQ000144,Disc Harrow,700,500,1000,per day,2025-09-17,Good,700.0
EQ000145,Thresher,917,600,1200,per day,2025-09-17,Good,917.0
EQ000146,Rotavator,799,400,1000,per day,2025-09-17,Good,799.0
EQ000147,Seed Drill,698,400,900,per day,2025-09-17,Good,698.0
EQ000148,Leveller,1006,800,1500,per day,2025-09-17,Good,1006.0
EQ000149,Mulcher,1532,900,1600,per day,2025-09-17,Good,1532.0
EQ000150,Rotavator,500,400,1000,per day,2025-09-17,Good,500.0
EQ000151,Cultivator,641,400,900,per day,2025-09-17,Needs Repair,448.7
EQ000152,Harvester,4914,3000,6000,per day,2025-09-17,Good,4914.0
EQ000153,Rotavator,647,400,1000,per day,2025-09-17,Good,647.0
EQ000154,Rotavator,655,400,1000,per day,2025-09-17,Good,655.0
EQ000155,Mulcher,1230,900,1600,per day,2025-09-17,Needs Repair,861.0
EQ000156,Weeder,334,250,600,per day,2025-09-17,Good,334.0
EQ000157,Pumpset,512,300,800,per day,2025-09-17,Good,512.0
EQ000158,Baler,2324,2000,3500,per day,2025-09-17,Needs Repair,1626.8
EQ000159,Disc Harrow,795,500,1000,per day,2025-09-17,Good,795.0
EQ000160,Disc Harrow,826,500,1000,per day,2025-09-17,Needs Repair,578.2
EQ000161,Seed Drill,674,400,900,per day,2025-09-17,Good,674.0
EQ000162,Plough,566,300,800,per day,2025-09-17,Good,566.0
EQ000163,Seed Drill,703,400,900,per day,2025-09-17,Good,703.0
EQ000164,Baler,2622,2000,3500,per day,2025-09-17,Good,2622.0
EQ000165,Plough,535,300,800,per day,2025-09-17,Good,535.0
EQ000166,Power Tiller,814,500,1200,per day,2025-09-17,Needs Repair,569.8
EQ000167,Tractor,1899,1000,2000,per day,2025-09-17,Good,1899.0
EQ000168,Weeder,310,250,600,per day,2025-09-17,Good,310.0
EQ000169,Rotavator,811,400,1000,per day,2025-09-17,Good,811.0
EQ000170,Power Tiller,895,500,1200,per day,2025-09-17,Good,895.0
EQ000171,Thresher,825,600,1200,per day,2025-09-17,Good,825.0
EQ000172,Weeder,487,250,600,per day,2025-09-17,Good,487.0
EQ000173,Rotavator,744,400,1000,per day,2025-09-17,Good,744.0
EQ000174,Disc Harrow,745,500,1000,per day,2025-09-17,Good,745.0
EQ000175,Baler,2139,2000,3500,per day,2025-09-17,Good,2139.0
EQ000176,Sprayer,355,200,500,per day,2025-09-17,Good,355.0
EQ000177,Reaper,1766,1500,2500,per day,2025-09-17,Good,1766.0
EQ000178,Plough,658,300,800,per day,2025-09-17,Good,658.0
EQ000179,Power Tiller,825,500,1200,per day,2025-09-17,Needs Repair,577.5
EQ000180,Baler,2213,2000,3500,per day,2025-09-17,Good,2213.0
EQ000181,Cultivator,647,400,900,per day,2025-09-17,Good,647.0
EQ000182,Thresher,881,600,1200,per day,2025-09-17,Good,881.0
EQ000183,Harvester,4865,3000,6000,per day,2025-09-17,Needs Repair,3405.5
EQ000184,Pumpset,597,300,800,per day,2025-09-17,Needs Repair,417.9
EQ000185,Plough,370,300,800,per day,2025-09-17,Good,370.0
EQ000186,Baler,2511,2000,3500,per day,2025-09-17,Good,2511.0
EQ000187,Power Tiller,613,500,1200,per day,2025-09-17,Needs Repair,429.1
EQ000188,Weeder,348,250,600,per day,2025-09-17,Good,348.0
EQ000189,Power Tiller,797,500,1200,per day,2025-09-17,Good,797.0
EQ000190,Cultivator,631,400,900,per day,2025-09-17,Good,631.0
